bus_name,gen_name,point,fuel,capacity
RIESEL 1 2,SANDY_CREEK_J01,POINT (-96.944549 31.458257298444906),ST,537.0
JEWETT 1 3,LIMESTONE_U1,POINT (-96.2399 31.408842811913992),ST,100512.0
BROWNSVILLE 1 0,MAGIC_VALLEY_STATION_CC2,POINT (-97.51060000000001 25.906623725411485),CC,958.0
WADSWORTH 3,SOUTH_TEXAS_NUCLEAR_U1,POINT (-96.0355 28.781591002395697),ST,1625.0
TEMPLE 1 2,PANDA_TEMPLE_I_CC1,POINT (-97.311822 31.039640653940793),CT,470.0
BAYTOWN 2 3,BAYTOWN_ENERGY1_CC1,POINT (-94.89686 29.767787707181103),CT,60.0
WADSWORTH 4,SOUTH_TEXAS_NUCLEAR_U2,POINT (-96.0355 28.77843569355472),ST,1625.0
ELMENDORF 3,VH_BRAUNIG_TTG_U1,POINT (-98.37746 29.248847748857216),GT,58.0
CHANNELVIEW 1 5,POWER_SYSTEMS_ARCO_COGEN1_CC2,POINT (-95.10269000000001 29.8082910631445),CC,664.0
PEARSALL 7,PEARSALL_ST7,POINT (-99.07930000000002 28.895198892753402),ST,79.0
MCKINNEY 1 8,PANDA_TEMPLE_II_CC2,POINT (-96.59662600000001 33.1533822539188),CC,914.0
SAN ANTONIO 1 7,JT_DEELY_U2,POINT (-98.33826000000002 29.41729806917129),ST,504.0
MIDLOTHIAN 1 0,MIDLOTHIAN_ENERGY_FACILITY_GT7,POINT (-97.04938 32.42776911654429),GT,318.0
MARION 1 3,GUADALUPE_ENERGY_CENTER1_CC1,POINT (-98.13686 29.617827994870808),CT,450.0
SNYDER 2 0,SNYDER_CREEK_CTG_2,POINT (-100.93666100000002 32.7410021133028),GT,115.0
LAREDO 1 3,LAREDO_CTG_5,POINT (-99.49630000000002 27.549944387416698),GT,126.0
DALLAS 1 7,FORNEY_ENERGY_CENTER2_CC1,POINT (-96.63940400000001 32.63618229042851),CT,780.0
PASADENA 3 7,TEXAS_CITY_POWER_CC7,POINT (-95.04076 29.6121721762336),CC,340.0
GREGORY 5,INGLESIDE_CC4,POINT (-97.245817 27.8662189772609),CC,540.0
ELMENDORF 10,VH_BRAUNIG_STG_U3,POINT (-98.37746 29.240052512079192),ST,498.0
BRIDGEPORT 8,JACK_COUNTY_GEN_FACILITY_2_CC3,POINT (-97.90820000000001 33.165516684282494),CC,780.0
MARION 1 4,GUADALUPE_ENERGY_CENTER1_CC3,POINT (-98.13686 29.616576135777205),CT,450.0
HOUSTON 5 3,TH_WARTON1_CC2,POINT (-95.52556 29.935148789380204),CT,113.0
THOMPSONS 15,BRAZOS_VALLEY_CC4,POINT (-95.62606 29.462428171656807),CC,768.0
FAIRFIELD 1 7,FREESTONE_ENERGY_CENTER2_CC2,POINT (-96.1005 31.865479541371617),CC,31439.0
THOMPSONS 3,WA_PARISH_STG_U1,POINT (-95.62606 29.477472378671287),ST,203.0
MIDLOTHIAN 1 0,MIDLOTHIAN_ENERGY_FACILITY_GT5,POINT (-97.04938 32.42776911654429),GT,336.0
PARIS 1 6,LAMAR_ENERGY_CENTER2_CC2,POINT (-95.57739999999998 33.603069171045995),CT,342.0
FREEPORT 2 0,DOWGEN_UNIT4,POINT (-95.396681 28.98499101570269),GT,121.0
LA GRANGE 5,FAYETTE_POWER_U3,POINT (-96.738 29.894575332167605),ST,540.0
HOUSTON 6 0,GREENS_BAYOU_GT3,POINT (-95.215109 29.819702359047994),GT,85.0
SAVOY 4,SAVOY_STATION_ST3,POINT (-96.355005 33.6094063532917),ST,470.0
PARIS 1 4,LAMAR_ENERGY_CENTER1_CC4,POINT (-95.57739999999998 33.6090657820005),CC,696.0
AUSTIN 1 0,DECKER_CREEK_GT3,POINT (-97.838266 30.394866861665406),GT,76.0
FREEPORT 2 0,DOWGEN_UNIT8,POINT (-95.396681 28.98499101570269),GT,121.0
HOUSTON 5 6,TH_WARTON1_CC7,POINT (-95.52556 29.93140504677339),CC,350.0
THOMPSONS 11,WA_PARISH_CTG_1,POINT (-95.62606 29.4674431553424),GT,18.0
